,GFI,complexity,document,length_of_chunk,number_of_chunk
1272,8.6242,4,summaryL1/fu034d_2005_02.txt,10,1
1273,7.7911,5,summaryL1/fu034d_2005_02.txt,14,1
1294,6.0547,5,summaryL1/fu034d_2005_02.txt,12,1
1295,7.1147,5,summaryL1/fu034d_2005_02.txt,10,1
1296,16.4966,3,summaryL1/hu007d_2007_06.txt,11,1
1318,16.8736,3,summaryL1/hu007d_2007_06.txt,10,1
1319,11.0278,4,summaryL1/hu007d_2007_06.txt,11,1
1341,11.2084,4,summaryL1/hu007d_2007_06.txt,10,1
1342,9.7778,5,summaryL1/hu007d_2007_06.txt,11,1
1364,9.835,5,summaryL1/hu007d_2007_06.txt,10,1
1365,8.3047,3,summaryL1/hu002d_2007_05.txt,26,1
1380,8.2121,3,summaryL1/hu002d_2007_05.txt,24,1
1381,8.4013,3,summaryL1/hu002d_2007_05.txt,22,1
1382,8.4128,3,summaryL1/hu002d_2007_05.txt,20,1
1383,8.8614,3,summaryL1/hu002d_2007_05.txt,18,1
1384,9.3968,3,summaryL1/hu002d_2007_05.txt,16,1
1385,7.4392,3,summaryL1/hu002d_2007_05.txt,14,1
1386,7.6905,3,summaryL1/hu002d_2007_05.txt,12,1
1387,8.7029,3,summaryL1/hu002d_2007_05.txt,12,2
1388,8.0153,3,summaryL1/hu002d_2007_05.txt,10,1
1389,8.7925,3,summaryL1/hu002d_2007_05.txt,10,2
1390,6.0233,4,summaryL1/hu002d_2007_05.txt,26,1
1405,5.6667,4,summaryL1/hu002d_2007_05.txt,24,1
1406,5.696,4,summaryL1/hu002d_2007_05.txt,22,1
1407,5.541,4,summaryL1/hu002d_2007_05.txt,20,1
1408,5.8668,4,summaryL1/hu002d_2007_05.txt,18,1
1409,6.2329,4,summaryL1/hu002d_2007_05.txt,16,1
1410,4.3884,4,summaryL1/hu002d_2007_05.txt,14,1
1411,4.6429,4,summaryL1/hu002d_2007_05.txt,12,1
1412,6.6159,4,summaryL1/hu002d_2007_05.txt,12,2
1413,4.6111,4,summaryL1/hu002d_2007_05.txt,10,1
1414,6.4162,4,summaryL1/hu002d_2007_05.txt,10,2
1415,4.3503,5,summaryL1/hu002d_2007_05.txt,26,1
1430,3.8485,5,summaryL1/hu002d_2007_05.txt,24,1
1431,3.9569,5,summaryL1/hu002d_2007_05.txt,22,1
1432,3.9,5,summaryL1/hu002d_2007_05.txt,20,1
1433,4.1556,5,summaryL1/hu002d_2007_05.txt,18,1
1434,4.425,5,summaryL1/hu002d_2007_05.txt,16,1
1435,3.3714,5,summaryL1/hu002d_2007_05.txt,14,1
1436,3.5,5,summaryL1/hu002d_2007_05.txt,12,1
1437,4.1812,5,summaryL1/hu002d_2007_05.txt,12,2
1438,3.76,5,summaryL1/hu002d_2007_05.txt,10,1
1439,4.04,5,summaryL1/hu002d_2007_05.txt,10,2
1440,18.4943,3,summaryL1/fu061d_2007_07.txt,12,1
1462,18.9738,3,summaryL1/fu061d_2007_07.txt,10,1
1463,12.7011,4,summaryL1/fu061d_2007_07.txt,12,1
1485,12.9658,4,summaryL1/fu061d_2007_07.txt,10,1
1486,10.908,5,summaryL1/fu061d_2007_07.txt,12,1
1508,11.2267,5,summaryL1/fu061d_2007_07.txt,10,1
1509,14.0609,3,summaryL1/fu060d_2007_07.txt,16,1
1529,14.6159,3,summaryL1/fu060d_2007_07.txt,14,1
1530,15.1545,3,summaryL1/fu060d_2007_07.txt,12,1
1531,15.6979,3,summaryL1/fu060d_2007_07.txt,10,1
1532,10.0487,4,summaryL1/fu060d_2007_07.txt,16,1
1552,10.5504,4,summaryL1/fu060d_2007_07.txt,14,1
1553,10.7439,4,summaryL1/fu060d_2007_07.txt,12,1
1554,11.4426,4,summaryL1/fu060d_2007_07.txt,10,1
1555,8.5897,5,summaryL1/fu060d_2007_07.txt,16,1
1575,9.1077,5,summaryL1/fu060d_2007_07.txt,14,1
1576,9.2229,5,summaryL1/fu060d_2007_07.txt,12,1
1577,9.9106,5,summaryL1/fu060d_2007_07.txt,10,1
1578,13.7198,3,summaryL1/fu052d_2007_05.txt,15,1
1598,14.0581,3,summaryL1/fu052d_2007_05.txt,14,1
1599,13.7018,3,summaryL1/fu052d_2007_05.txt,12,1
